study, fraction_intersected,analysis
Beerman,0.408551069,meta
Chambers,0.267780801,meta
Flach,0.390765766,meta
Grover,0.816666667,meta
Kirshner,0.822580645,meta
Kowalczyk,0.805194805,meta
Noda,0.819354839,meta
Quere,0.485294118,meta
Rossi,0.474898236,meta
Sun,0.350037965,meta
Wahlestedt,0.840686275,meta
Bersenev,0.762917933,reanl
Chambers,0.201129944,reanl
Flach,0.517045455,reanl
Grover,0.666666667,reanl
Kirshner,0.666666667,reanl
Kowalczyk,0.485294118,reanl
Lazare,0.915662651,reanl
Mann,0.823529412,reanl
Maryanovich,0.564545455,reanl
Norddahl,0.7088,reanl
Sun,0.302059497,reanl
Wahlestedt,0.869009585,reanl