study,up,down,analysis
Beerman,124,297,meta
Chambers,1320,1253,meta
Flach,118,770,meta
Grover,60,0,meta
Kirshner,62,0,meta
Kowalczyk,0,77,meta
Noda,115,40,meta
Quere,170,34,meta
Rossi,447,290,meta
Sun,1337,1297,meta
Wahlestedt,279,129,meta
Bersenev,234,95,reanalysis
Chambers,854,916,reanalysis
Flach,50,126,reanalysis
Grover,65,34,reanalysis
Kirshner,21,9,reanalysis
Kowalczyk,107,165,reanalysis
Lazare,67,16,reanalysis
Mann,61,7,reanalysis
Maryanovich,549,551,reanalysis
Norddahl,438,187,reanalysis
Sun,1483,1139,reanalysis
Wahlestedt,238,75,reanalysis